,0
37,"GF - Compliance AML Risk Management Senior Manager - Vice President
Save
Citi Singapore
The Compliance Anti Money Laundering Risk Management Senior Manager is a senior professional level role responsible for establishing internal procedures to prevent money laundering and assist in all matters concerning financial crimes in coordination with the broader Anti-Money Laundering (AML) team. The overall objective is to manage a team, utilize in-depth specialty knowledge to identify issues/problems and devise recommendations for complex situations. Responsibilities: Plan, budget
Full time
2 hours ago

Competitive"
38,"GF - Internal Audit - Consumer Banking Technology - Assistant Vice President
Save
Citi Singapore
The Senior Auditor (Consumer Banking Technology) is an intermediate level role responsible for performing moderately complex audits and assessments of Citi's risk and control environments, focusing on technology, in coordination with the Audit team. The overall objective is to utilize in-depth subject matter expertise to contribute to the development of new techniques / processes for the area or function and help Citi reach business goals. Responsibilities: Perform moderately complex au
Full time
2 hours ago

Competitive"
39,"GF - Equities & Securities Services Audit - Senior Auditor - Assistant Vice President
Save
Citi Singapore
The Senior Auditor is an intermediate level role responsible for performing moderately complex audits and assessments of Citi's risk and control environments in coordination with the Audit team. The overall objective is to utilize in-depth subject matter expertise to contribute to the development of new techniques / processes for the area or function and help Citi reach business goals. Responsibilities: Perform moderately complex audits including drafting audit reports, presenting issue
Full time
2 hours ago

Competitive"
40,"Digital Bank Technology / Transformation Lead
Save
Citi Singapore
Job Purpose: The Asia Retail Bank segment strategy is a well-developed tiered segment model. We are a Regional scale business with 22k Qualified CPC Clients (11 markets), 219k Qualified Citigold Clients (17 markets), 210k Qualified Citi Priority Clients (12 markets), and 4.5MM Citibanking clients. We have new, non-traditional challengers positioning themselves in different markets and growing rapidly. There is unprecedented emerging affluent growth in Asia, clients using digital is expandi
Full time
2 hours ago

Competitive"
41,"UBS-SUPER -Test Support Analyst (12 Month Contract)
Save
UBS Singapore
Job Reference #221058BR
Your team You'll be working in the Test Environment Support Team for Client Orders applications in Singapore. We provide Level 2 IT support for the Client Orders test environment, where you will become one of the experts in supporting our global Order manager. Our Order Management system is the largest cross product trading platform in UBS. Your expertise • an IT background with some years of experience. • experience in doing a support role • a natural ab
Part time
3 hours ago

Competitive"
42,"UBS-SUPER IT Frontend Developer (React JavaScript) (12 month Contract)
Save
UBS Singapore
Job Reference #221237BR
Your team You will be part of the APAC Touchpoint Development team based in Singapore; working with local & global developers, and business across APAC and Switzerland. Your expertise • you have a bachelor's / master's Degree in Computer Science, Engineering or a related subject • comprehensive knowledge in Software Engineering with JavaScript, especially ReactJS (incl. Redux/Flux) • deep understanding of frontend development tools and technologies (e.g. NPM
Part time
3 hours ago

Competitive"
43,"Business Change Manager
Save
UBS Singapore
Job Reference #221980BR
Your team You'll be working within the GWM COO Investment & Trading Platform team in Singapore. GWM COO stands for Global Wealth Management Chief Operating Office. We provide buy-side order management and trade execution platform services for our wealth management business and develop our platform capabilities in conjunction with the needs of our business partners. Your expertise • strong product and front to back process knowledge for Structured Products with
Full time
3 hours ago

Competitive"
44,"AVP/ VP, Business Analytics, Digital Value Capture, Group Finance
Save
DBS Bank Limited Singapore
Business Function Group Finance aims to deliver world-class standards in reporting, financial planning and finance processes. We provide insights and analyses that help the bank make sound business decisions - whether in the areas of product development or customer profitability. We also provide capital management, business planning, forecasting, and tax and accounting advisory services. The bank is also a certified Accredited Training Organisation (ATO) for the Singapore Qualification P
Full time
3 hours ago

Competitive"
45,"VP / AVP, Senior Machine Learning Engineer, Institutional Banking Group
Save
DBS Bank Limited Singapore
Business Function The Institutional Banking Group's (IBG) Data Centre of Excellence (Data CoE) is committed to building a data driven organization and maximising the key data capabilities to transform how IBG does business. Data impacts IBG's businesses every day, and a culture of relentlessly using data and business intelligence will enable IBG to achieve exponential growth. Job Purpose The Senior Machine Learning Engineer will provide software engineering support to the IBG DCOE Team i
Full time
3 hours ago

Competitive"
46,"VP / AVP, Senior Data Scientist, Institutional Banking Group
Save
DBS Bank Limited Singapore
Business Function The Institutional Banking Group's (IBG) Data Centre of Excellence (Data CoE) is committed to building a data driven organization and maximising the key data capabilities to transform how IBG does business. Data impacts IBG's businesses every day, and a culture of relentlessly using data and business intelligence will enable IBG to achieve exponential growth. Responsibilities The senior data scientist will have opportunities to work on varieties of problems across sales
Full time
3 hours ago

Competitive"
47,"VP, Regional Business Manager, Consumer Banking Group
Save
DBS Bank Limited Singapore
Business Function Digital revolutions are set to change the way we live, work and play. That's why we've spared no effort in ensuring we are at the forefront of this new generation. Our new digital banking initiative will focus on creating innovative products and services to integrate banking into our customers' digital lifestyle. Market Manager will support markets in scaling digital franchise for DBS through Best in Class in App experiences & driving digital business strategies. India a
Full time
3 hours ago

Competitive"
48,"AVP/Senior Associate, Lead Data Engineer, Group Consumer Banking and Big Data Analytics Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Responsible to analyze data for Performance, Availability, Er
Full time
3 hours ago

Competitive"
49,"SVP, Regional Head - Regional Wealth Management Operations, Global Consumer Banking Operations (GCBO), Technology & Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Wealth Management Operations (WMO) Regional Group has dominant presence in Singap
Full time
3 hours ago

Competitive"
50,"AVP / Senior Associate, Full Stack Developer, Finance Platform, Middle Office Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Responsibilities Develop high-volume, low-latency applications for mission-c
Full time
3 hours ago

Competitive"
51,"VP/AVP, Technology Risk Manager, COO Office , Technology & Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. About This Role We are constantly challenged by changes in technology advance
Full time
3 hours ago

Competitive"
52,"Senior Associate / Associate, Software Development Engineer in Testing (SDET), Digital Platform, Group Consumer Banking Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. We are seeking a technically strong candidate to join the team as a SDET Lead
Full time
3 hours ago

Competitive"
53,"SVP/VP, Program Director, Consumer Finance, Group Consumer Banking and Big Data Analytics Technology, Technology and Operations
Save
DBS Bank Limited Singapore
Business Function Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels. Job Description Summary The role is responsible for managing and leading the
Full time
3 hours ago

Competitive"
